UUID,Name,Gender,Field
34931edf-de9a-43e0-b9f9-1c66f584115e, Kiều Đặng Châu, False, 79368790-39e7-42da-9387-4d5ec65562fa
e92ef9ad-5fbd-457b-b27c-7687e50f8a0b, Trần Thị Thi, False, c2e30544-9f39-4a65-87f9-5e00831f78c7
f2467c27-933c-4625-8b48-4725e0c4b88a, Đoàn Xuân Hưng, True, f9c2d096-19e4-4e62-958a-6c5636b89df3
f0e07907-2800-4107-9b55-69144fb8b868, Trầm Tiểu Vân, False, e3f281e5-2f46-4d47-911e-c693e11260f9
1a617419-5112-4742-8a03-74a02ad0952c, Lý Tử Thy, False, 552ac17b-2059-49f7-927c-968d1476a716
a07708e5-3a3d-4a57-9141-0ed44e516736, Trần Hoàng Long, True, 89733b09-2c4c-4fe1-9501-0851ccf6215d
f059d6d3-ee45-41c9-b02e-0886306467b5, Kiều Tiểu Lan, False, 81dcaaef-ab75-4f9e-a71b-fe5c4c47e8af
332309ae-710a-4083-843a-2b4f83bf0872, Võ Thanh Châu, False, 87ccc77c-2f03-4d85-a53b-8a1e8e551919
0f1a70d7-fffc-4b15-b4c7-61cdf03b364e, Lại Anh Việt, True, b9207133-d56e-4f62-a5d9-5681a44f2720
55a2cb40-24a5-4c0b-acb4-317824ca02d0, Phạm Quỳnh Hà, False, f9c2d096-19e4-4e62-958a-6c5636b89df3
1e248bd6-1d93-491a-b283-7b70f32c983b, Hồ Ngọc Ý, False, e3f281e5-2f46-4d47-911e-c693e11260f9
e9514966-d883-4a55-b31f-e3b7e8b8686b, Trần Thu Linh, False, 79368790-39e7-42da-9387-4d5ec65562fa
a6cff723-537f-422a-ad86-3738df75b69d, Hồ Công Dương, True, dc22c56d-b468-4ee9-8c29-e478037d8292
e777306f-bea9-492c-ba93-8074cf261dcd, Võ Trọng Đạt, True, 81dcaaef-ab75-4f9e-a71b-fe5c4c47e8af
4451d34c-b2d1-4c3c-a4ec-0e9764ab7c08, Kiều Bá Long, True, 552ac17b-2059-49f7-927c-968d1476a716
05698b52-4971-4ae2-ac43-de8e98c9746a, Lý Kim Thi, False, c2e30544-9f39-4a65-87f9-5e00831f78c7
70570732-c3ea-4560-b746-84a2aa6e9a0e, Bùi Bảo Khánh, True, 87ccc77c-2f03-4d85-a53b-8a1e8e551919
1e603bd8-ee76-4fb6-9195-e3e64698788b, Hồ Thu Vân, False, 89733b09-2c4c-4fe1-9501-0851ccf6215d
ceeba7d4-dbb0-4300-8a51-5d33cc715359, Đoàn Đoàn Hoàng, True, f9c2d096-19e4-4e62-958a-6c5636b89df3
8221ad7d-01b8-41d7-ae0f-c2a5725c5f01, Lại Thế Thành, True, dc22c56d-b468-4ee9-8c29-e478037d8292
6bfa0723-3cca-48e2-956a-1e5f4aa1fe85, Bùi Thu Hoa, False, 81dcaaef-ab75-4f9e-a71b-fe5c4c47e8af
354e5fe4-7b1c-481f-bb7f-4cb35608e2a8, Đoàn Bảo Sơn, True, 552ac17b-2059-49f7-927c-968d1476a716
7731b1d2-4b07-4faa-aed2-f5bef04b626f, Hà Dương Huy, True, c2e30544-9f39-4a65-87f9-5e00831f78c7
c8f191d1-8f31-4abd-8ec8-7ad24e851c9b, Nguyễn Trọng Tuấn, True, 89733b09-2c4c-4fe1-9501-0851ccf6215d
762fac2e-1ffb-44b1-b6ec-6344e9045c13, Lại Minh Thịnh, True, e3f281e5-2f46-4d47-911e-c693e11260f9
3f25290d-b0f6-46ad-9f81-02b19b3ca8b1, Kiều Thúy Yến, False, 79368790-39e7-42da-9387-4d5ec65562fa
77341eed-9513-48c9-92a2-cd5707f6458a, Bùi Xuân Hoa, False, 87ccc77c-2f03-4d85-a53b-8a1e8e551919
1a4c6afd-4aec-4b7f-8316-1b5cf3eff62d, Lê Hoàng Thi, False, dc22c56d-b468-4ee9-8c29-e478037d8292
2ddcf31a-b967-49c6-9cc2-f71b91f2e8ff, Lại Thị Kiều, False, 89733b09-2c4c-4fe1-9501-0851ccf6215d
f1793d9e-4879-459a-9868-240144e7beb8, Lý Tử Kiều, False, 87ccc77c-2f03-4d85-a53b-8a1e8e551919
625f10c5-f941-4bdd-9262-ea534c39b8d9, Lý Thanh Thy, False, f9c2d096-19e4-4e62-958a-6c5636b89df3
1f899375-091f-4754-8f1a-a820d911fbbd, Phạm Bảo Vân, False, dc22c56d-b468-4ee9-8c29-e478037d8292
e24aaaac-ec38-4077-98cf-129af91b078d, Bùi Dương Thịnh, True, 89733b09-2c4c-4fe1-9501-0851ccf6215d
4ce599ee-4050-4359-bb9a-7f95993bccd2, Đoàn Bảo Tuấn, True, 87ccc77c-2f03-4d85-a53b-8a1e8e551919
6ad33510-1e66-4a69-9797-eaaba1eb144e, Trầm Quỳnh Hoa, False, dc22c56d-b468-4ee9-8c29-e478037d8292
965bed4b-a6ee-4a8c-8479-04f32e1cdb3a, Kiều Thị Hoa, False, 81dcaaef-ab75-4f9e-a71b-fe5c4c47e8af
6ff678b6-20e2-44d0-9257-b9ed3f9d0e70, Nguyễn Thanh Yến, False, 552ac17b-2059-49f7-927c-968d1476a716
2d34e46c-a1a2-444b-b032-7e6b0e73c73b, Kiều Công Thông, True, c2e30544-9f39-4a65-87f9-5e00831f78c7
a5475e7c-dd1a-4bef-8a66-6eb2208a18b0, Lại Công Hòa, True, 87ccc77c-2f03-4d85-a53b-8a1e8e551919
b6763d9e-2f45-45fb-88e3-70b72e9d6c55, Lê Văn Hiếu, True, e3f281e5-2f46-4d47-911e-c693e11260f9
